max_features='log2',max_features='sqrt',max_features=None
0.1457,0.1224,0.0961
0.1312,0.1167,0.0902
0.1339,0.1147,0.0935
0.1357,0.1099,0.0929
0.1341,0.111,0.0876
0.138,0.1017,0.0887
0.1354,0.11,0.0874
0.1326,0.1026,0.0875
0.1268,0.1043,0.0866
0.1322,0.1033,0.0884
0.1318,0.1042,0.0887
0.1301,0.1032,0.0882
0.1278,0.1025,0.0852
0.1292,0.0994,0.0865
0.1268,0.1022,0.0869
0.1219,0.1001,0.0839
0.1287,0.1014,0.0873
0.1246,0.0992,0.0855
0.1258,0.0986,0.0863
0.1277,0.1003,0.0874
0.1313,0.0987,0.0862
0.1282,0.1024,0.086
0.1245,0.0993,0.0863
0.1249,0.1011,0.0844
0.1264,0.0991,0.086
0.125,0.0999,0.0856
0.1231,0.0962,0.0853
0.128,0.1016,0.0849
0.1206,0.1032,0.0854
0.1252,0.0977,0.0847
0.1235,0.0959,0.0854
0.1283,0.098,0.0839
0.1262,0.0976,0.0866
0.1245,0.0958,0.0855
0.1218,0.097,0.0842
0.1254,0.0989,0.0858
0.1249,0.0988,0.0847
0.1202,0.1,0.0857
0.1255,0.0985,0.0856
0.1237,0.0976,0.0863
0.1271,0.1004,0.0854
0.1228,0.0975,0.0841
0.125,0.0988,0.0849
0.1252,0.0973,0.0845
0.1248,0.0969,0.0854
0.1249,0.0998,0.0846
0.1221,0.098,0.0843
0.1239,0.0977,0.0846
0.1244,0.0978,0.0846
0.123,0.0963,0.0856
0.1233,0.0991,0.0845
0.1238,0.098,0.0854
0.1257,0.099,0.0842
0.1232,0.0968,0.0836
0.1254,0.0948,0.0849
0.1244,0.0965,0.0835
